ID,sec14,sec15,sec16,sec17
527,NA,NA,NA,NA
528,NA,NA,NA,NA
529,NA,NA,NA,NA
530,NA,NA,NA,NA
531,NA,NA,NA,NA
532,NA,NA,NA,NA
533,NA,NA,NA,NA
534,NA,NA,NA,NA
535,NA,NA,NA,NA
536,NA,NA,NA,NA
537,NA,NA,NA,NA
538,NA,NA,NA,NA
539,NA,NA,NA,NA
540,NA,NA,NA,NA
541,NA,NA,NA,NA
542,NA,NA,NA,NA
543,NA,NA,NA,NA
544,NA,NA,NA,NA
545,NA,NA,NA,NA
546,NA,NA,NA,NA
547,NA,NA,NA,NA
548,1,1,1,1
549,1,1,1,1
550,NA,NA,NA,NA
551,NA,NA,NA,NA
552,NA,NA,NA,NA
553,NA,NA,NA,NA
554,NA,NA,NA,NA
555,NA,NA,NA,NA
556,NA,NA,NA,NA
557,NA,NA,NA,NA
558,NA,NA,1,NA
559,NA,NA,1,NA
560,NA,NA,1,NA
561,NA,NA,1,NA
562,NA,NA,1.33333333333333,NA
563,NA,NA,1,NA
564,NA,NA,1,NA
565,NA,NA,1,NA
566,NA,NA,1,NA
567,NA,NA,1,NA
568,NA,NA,1,NA
569,NA,NA,1,NA
570,NA,NA,NA,NA
571,NA,NA,NA,NA
572,NA,NA,NA,NA
573,NA,NA,NA,NA
574,NA,NA,NA,NA
575,NA,NA,NA,NA
576,2.25,2,1.33333333333333,2.33333333333333
577,2,2,1.66666666666667,2
578,2,2,2,2
579,2,2,2,2.66666666666667
580,NA,NA,NA,NA
581,NA,NA,NA,NA
582,NA,NA,NA,NA
583,NA,NA,NA,NA
584,NA,NA,NA,NA
585,NA,NA,NA,NA
586,NA,NA,NA,NA
587,NA,NA,NA,NA
588,NA,NA,NA,NA
589,NA,NA,NA,NA
590,NA,NA,NA,NA
591,NA,NA,NA,NA
592,NA,NA,NA,NA
593,NA,NA,NA,NA
594,NA,NA,NA,NA
595,NA,NA,NA,NA
596,NA,NA,NA,NA
597,NA,NA,NA,NA
598,NA,NA,NA,NA
599,NA,NA,NA,NA
600,NA,NA,NA,NA
601,NA,NA,NA,NA
602,NA,NA,NA,NA
603,NA,NA,NA,NA
604,NA,NA,NA,NA
605,NA,NA,NA,NA
606,NA,NA,NA,NA
607,NA,NA,NA,NA
608,NA,NA,NA,NA
609,NA,NA,NA,NA
610,NA,NA,NA,NA
611,NA,NA,NA,NA
612,NA,NA,NA,NA
613,NA,NA,NA,NA
614,NA,NA,NA,NA
615,NA,NA,NA,NA
616,NA,NA,NA,NA
617,NA,NA,NA,NA
618,NA,NA,NA,NA
619,NA,NA,NA,NA
620,NA,NA,NA,NA
621,NA,NA,NA,NA
622,NA,NA,NA,NA
623,NA,NA,NA,NA
624,NA,NA,NA,NA
625,NA,NA,NA,NA
626,NA,NA,NA,NA
627,NA,NA,NA,NA
628,NA,NA,NA,NA
629,NA,NA,NA,NA
630,NA,NA,NA,NA
631,NA,NA,NA,NA
632,NA,NA,NA,NA
633,NA,NA,NA,NA
634,NA,NA,NA,NA
635,NA,NA,NA,NA
636,NA,NA,NA,NA
637,NA,NA,NA,NA
638,NA,NA,NA,NA
639,NA,NA,NA,NA
640,NA,NA,NA,NA
641,NA,NA,NA,NA
642,NA,NA,NA,NA
643,NA,NA,NA,NA
644,NA,NA,NA,NA
645,NA,NA,NA,NA
646,NA,NA,NA,NA
647,NA,NA,NA,NA
648,NA,NA,NA,NA
649,NA,NA,NA,NA
650,NA,NA,NA,NA
651,NA,NA,NA,NA
652,NA,NA,NA,NA
653,NA,NA,NA,NA
654,NA,NA,NA,NA
655,NA,NA,NA,NA
656,NA,NA,NA,NA
657,NA,NA,NA,NA
658,NA,NA,NA,NA
659,NA,NA,NA,NA
660,NA,NA,NA,NA
661,1,1,2.33333333333333,2
662,1,1,1,1
663,1,1,1,1
664,NA,NA,NA,NA
665,NA,NA,NA,NA
666,NA,NA,NA,NA
667,NA,NA,NA,NA
668,NA,NA,NA,NA
669,NA,NA,NA,NA
670,NA,NA,NA,NA
671,1,1,1,1
672,1,1,1,1
673,1.5,1.5,2,1.66666666666667
674,NA,2,2.33333333333333,3
675,NA,2.25,2.33333333333333,2.66666666666667
676,NA,NA,NA,NA
677,NA,NA,NA,NA
678,1.25,1.25,1.66666666666667,1.33333333333333
679,2,2.25,2,1.33333333333333
680,1,1,1.33333333333333,1.33333333333333
681,2,2,1.66666666666667,1.33333333333333
682,1.25,1,1.66666666666667,1.33333333333333
683,1,1,1,1
684,1,1,1,1.33333333333333
685,1,1,1,1.33333333333333
686,1,1,1,1
687,1,1,1,1
688,1,1,1,1.33333333333333
689,1,1,1,1
690,1,1,1,1
691,1,1,1,1
692,1,1,1,1.66666666666667
693,1,1,1,1
694,1,1,1,1
695,1,1,1,1
696,1,1,1,1
697,1,1,1,1
698,1,1,1,1
699,1,1,1,1
700,1,1,1,1
701,1,1,1.33333333333333,1.33333333333333
702,1,1,1,1
703,1,1,1,1
704,1,1,1,1
705,1,1,1,1
706,1,1,1,1
707,1,1,1,1
708,1,1,1,1
709,NA,NA,NA,NA
710,NA,NA,NA,NA
711,NA,NA,1,1
