"","V1"
"253",29.4115295028687
"254",25.553905156749
"255",41.1799988313155
"256",84.8851934301442
"257",39.3354976703594
"258",39.2794491521428
"259",39.1022416662633
"260",49.6280203134241
"261",37.1735608883465
"262",92.557829999212
"263",36.3622942254095
"264",45.4828610632155
"265",33.2420835051426
"266",12.8957464878376
"267",20.4588221821346
"268",14.1174036034367
"269",57.0952272908441
"270",57.289147395354
"271",81.9698369452294
"272",41.5003920518435
"273",92.3819345805956
"274",15.6132463476712
"275",24.167952253705
"276",40.6524997004756
"277",30.9357145718166
"278",25.0109271063254
"279",25.9034503116901
"280",34.3374411885331
"281",28.3807894266569
"282",15.5474076302223
"283",21.8423448131125
"284",70.483990916839
"285",12.399974920445
"286",9.11146099352446
"287",0.0448513188164142
"288",0.79420276296688
"289",0.367207209712214
"290",0.193819399053786
"291",0.0744834949784496
"292",0.781682157158597
"293",0.21267418374218
"294",0.170523245373626
"295",0.253319344872961
"296",5.32701022498282
"297",2.33200363178021
"298",70.9471697926086
"299",1.70628396265192
"300",11.2988767888907
"301",39.6454630350101
"302",9.82863688447165
"303",1.3708034749608
"304",23.1584427763451
"305",36.9702282690238
"306",7.84055265240047
"307",0.338088027083805
"308",90.4922619660695
"309",124.380905295527
"310",5.11973716441993
"311",12.156526833469
"312",13.2590720144411
"313",39.3387464978708
"314",35.8207551493789
"315",39.6212948176486
"316",38.0342141242876
"317",85.1594207451261
"318",2.14858753131259
"319",0.361406491835104
"320",6.53095172274281
"321",28.7493686072542
"322",24.3202003083139
"323",9.50776437952912
"324",1.9275139594481
"325",2.0287062074322
"326",0.758493005195622
"327",1.18480827415796
"328",38.3489130798139
"329",43.6350437077609
"330",58.4755941572643
"331",44.5694826553608
"332",73.7880719184875
"333",9.96032060526769
"334",41.4657756588618
"335",95.302728867247
"336",441.730706246694
"337",52.0062159828925
"338",127.495633122147
"339",74.2018728343719
"340",137.588617801666
"341",56.6165030292976
"342",103.608880218707
"343",135.283823394775
"344",236.528162956238
"345",26.0538210054723
"346",29.5905534744263
"347",10.5692586950077
"348",17.5639341695985
"349",27.0548897440019
"350",9.67740394208004
"351",45.5289922171626
"352",5.45197974750276
"353",23.8812401437474
"354",19.6060913882398
"355",19.26017098273
"356",1.96798951146175
"357",5.54532118661231
"358",9.03774531908622
"359",6.97395635495008
"360",2.00135261424373
"361",2.92749789826906
"362",6.66957613024273
"363",3.93156006215654
"364",0.720143978486759
"365",8.42996262586053
"366",9.15311429472413
"367",21.37787785175
"368",3.97535960058399
"369",5.47670443933083
"370",21.9604413770522
"371",46.2448316945627
"372",27.3788589572183
"373",47.636985182483
"374",13.7691565950915
"375",11.3661149424747
"376",18.7981623958719
"377",34.5049875135284
"378",7.52734374361379
"379",9.26186931327826
"380",5.07211890331835
"381",0.623915182604551
"382",1.25476374156051
"383",0.73156327947746
"384",0.239824772972193
"385",69.9217768775092
"386",49.3933100154382
"387",103.2231285731
"388",167.436572196267
"389",92.7072943115234
"390",50.9513471266803
"391",95.8035101713958
"392",151.95401423318
"393",0.151094427426062
"394",0.613513548373476
"395",0.514089339383427
"396",39.9522569035909
"397",25.7190476467735
"398",17.7513437940363
"399",5.97898917506186
"400",8.62896305164569
"401",9.30376516133547
"402",12.9999830528044
"403",73.5951842539451
"404",60.8126881109907
"405",30.5850618516698
"406",41.7567903832956
"407",85.2757119028007
"408",146.463113149007
"409",155.920384973288
"410",270.10761812755
"411",43.8417470908262
"412",73.1159913738569
"413",72.6790862330075
"414",54.1514501260675
"415",24.1404442494949
"416",65.7954755643519
"417",13.1474835234803
"418",53.5325993360099
"419",87.9561429140044
"420",43.465846415722
"421",158.438579625097
"422",271.830469621931
"423",300.170846557617
"424",51.4711528036329
"425",31.5554107387414
"426",33.6775530403323
"427",66.2206830670757
"428",92.4590334328671
"429",166.40203744012
"430",154.132874070274
"431",135.784573163675
"432",181.382491253792
"433",331.264464730347
"434",113.887042045593
"435",91.9189004327599
"436",76.6559749179416
"437",92.2576193128313
"438",154.170954994533
"439",258.146368675762
"440",41.9088794292214
"441",220.810017681122
"442",287.57135733068
"443",385.167404977899
"444",19.5284029703874
"445",534.892287566885
"446",198.159803831577
"447",121.044330402091
"448",43.4964399337769
"449",239.47047996521
"450",402.074853515625
"451",748.103141784668
"452",330.198984146118
"453",350.951007080078
"454",176.813753614239
"455",243.907136770395
"456",165.324290055495
"457",69.7405333711821
"458",132.97575331976
"459",64.5415053094427
"460",194.326476804415
"461",274.610174075417
"462",205.993163312313
"463",109.816694987472
"464",237.607847761849
"465",250.689580372402
"466",32.0591154370651
"467",8.11148111342502
"468",27.8023547179559
"469",30.5377464845081
"470",36.8353295075874
